,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
605,2020-06-01,staple,-0.002107481559536343,75.8,0.08005225768852761,4518322.0244213715,2.5
606,2020-06-02,staple,0.08754919842565043,,0.07998580589741926,,
607,2020-06-03,staple,-0.017918615941389365,,0.07996365530038314,,
608,2020-06-04,staple,0.005842171490203051,,0.07996365530038314,,
609,2020-06-05,staple,-0.016709856134393623,,0.07998580589741926,,
610,2020-06-08,staple,-0.03171573973100699,,0.07923268559819127,,
611,2020-06-09,staple,-0.026560300328484266,,0.07921053500115516,,
612,2020-06-10,staple,-0.017643655996914753,,0.07929913738929963,,
613,2020-06-11,staple,-0.009520070664442035,,0.07923268559819127,,
614,2020-06-12,staple,-0.0022790328973444707,,0.07918838440411903,,
615,2020-06-15,staple,-0.010428046479292852,,0.07861246888118,,
616,2020-06-16,staple,0.006523484544359752,,0.07830236052267435,,
617,2020-06-17,staple,0.004287566058430477,,0.078235908731566,,
618,2020-06-18,staple,0.003971405877680755,,0.07814730634342153,,
619,2020-06-19,staple,0.004746835443037873,,0.07801440276120482,,
620,2020-06-22,staple,0.03248031496063004,,0.0764417103716405,,
621,2020-06-23,staple,-0.0044804575786463186,,0.07624235499831544,,
622,2020-06-24,staple,-0.00019151584793651472,,0.07599869843091815,,
623,2020-06-25,staple,-0.000670433866487819,,0.07571074066944863,,
624,2020-06-26,staple,0.003546099290780049,,0.0751569757435457,,
625,2020-06-29,staple,0.013752268169229415,,0.07243245230810329,,
626,2020-06-30,staple,0.005558172397550534,,0.07221094633774211,,
627,2020-07-01,staple,0.02032977328086942,83.4,0.06461329155435391,,2.5
628,2020-07-02,staple,0.015976494353135702,,0.0645911409573178,,
629,2020-07-03,staple,0.0007230004518752669,,0.06452468916620945,,
630,2020-07-06,staple,-0.024022396821096456,,0.06432533379288438,,
631,2020-07-07,staple,0.0019431849727029515,,0.06425888200177604,,
632,2020-07-08,staple,-0.027521241226449982,,0.0642145808077038,,
633,2020-07-09,staple,-0.015289648622981952,,0.06419243021066769,,
634,2020-07-10,staple,-0.012151605747902314,,0.06405952662845098,,
635,2020-07-13,staple,-0.010348530703895365,,0.06379371946401757,,
636,2020-07-14,staple,-0.007990529742527397,,0.06372726767290922,,
637,2020-07-15,staple,0.0010938743038981646,,0.0635722134936564,,
638,2020-07-16,staple,-0.005960067547432289,,0.06337285812033135,,
639,2020-07-17,staple,0.0010992305386231004,,0.06326210513515076,,
640,2020-07-20,staple,-0.0017967658215213298,,0.0626640390151756,,
641,2020-07-21,staple,-0.0018999999999999772,,0.062221027074453254,,
642,2020-07-22,staple,-0.021340547039374765,,0.0620216717011282,,
643,2020-07-23,staple,-0.005528255528255592,,0.061888768118911495,,
644,2020-07-24,staple,0.002676549310273884,,0.06149005737226138,,
645,2020-07-27,staple,0.013757700205338697,,0.060360376923419404,,
646,2020-07-28,staple,0.013570994531091791,,0.060138870953058234,,
647,2020-07-29,staple,0.03507194244604322,,0.05978446140048036,,
648,2020-07-30,staple,0.007240081088908196,,0.05967370841529977,,
649,2020-07-31,staple,0.0069005175388154,,0.059230696474577425,,
650,2020-08-03,staple,0.047020750047591826,,0.04660485616399061,,
651,2020-08-04,staple,-0.016181818181818193,,0.046538404372882265,,
652,2020-08-05,staple,-0.01118092773978926,,0.046516253775846145,,
653,2020-08-06,staple,0.004859358938416933,,0.04649410317881003,,
654,2020-08-07,staple,-0.00790477076164786,,0.04647195258177391,,
655,2020-08-10,staple,-0.03908886389201351,,0.04627259720844886,,
656,2020-08-11,staple,-0.008877182713881677,,0.046206145417340506,,
657,2020-08-12,staple,-0.0033464566929132795,,0.04613969362623215,,
658,2020-08-13,staple,-0.016393442622950925,,0.04611754302919604,,
659,2020-08-14,staple,-0.0009036144578312169,,0.04609539243215992,,
660,2020-08-17,staple,0.0019093558436337828,,0.04556377810329311,,
661,2020-08-18,staple,-0.006218655967903756,,0.045497326312184755,,
662,2020-08-19,staple,-0.003835284618490063,,0.04545302511811252,,
663,2020-08-20,staple,-0.00476190476190475,,0.04540872392404029,,
664,2020-08-21,staple,-0.004173877634124104,,0.045275820341823585,,
665,2020-08-24,staple,-0.0012267429973419582,,0.04476635660999289,,
